id,order_date,delivery_date,event_time,registration_date,expiration_date,customer_id,quantity,status,order_date_year,order_date_month,order_date_day,order_date_dayofweek,order_date_quarter,order_date_is_weekend,order_date_is_month_end,order_date_is_quarter_end,order_date_fiscal_quarter,order_date_season,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_dayofweek,delivery_date_quarter,delivery_date_is_weekend,delivery_date_is_month_end,delivery_date_is_quarter_end,delivery_date_fiscal_quarter,delivery_date_season,event_time_year,event_time_month,event_time_day,event_time_dayofweek,event_time_quarter,event_time_is_weekend,event_time_is_month_end,event_time_is_quarter_end,event_time_fiscal_quarter,event_time_season,registration_date_year,registration_date_month,registration_date_day,registration_date_dayofweek,registration_date_quarter,registration_date_is_weekend,registration_date_is_month_end,registration_date_is_quarter_end,registration_date_fiscal_quarter,registration_date_season,expiration_date_year,expiration_date_month,expiration_date_day,expiration_date_dayofweek,expiration_date_quarter,expiration_date_is_weekend,expiration_date_is_month_end,expiration_date_is_quarter_end,expiration_date_fiscal_quarter,expiration_date_season,customer_id_year,customer_id_month,customer_id_day,customer_id_dayofweek,customer_id_quarter,customer_id_is_weekend,customer_id_is_month_end,customer_id_is_quarter_end,customer_id_fiscal_quarter,customer_id_season
84,,2024-03-12 00:00:00,,2017-01-10,2019-01-10,,4,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,1,10,1,1,0,0,0,2,4,2019,1,10,3,1,0,0,0,2,4,,,,,,0,0,0,,
85,,2024-03-12 00:00:00,,2016-12-05,2018-12-05,,2,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,12,5,0,4,0,0,0,1,4,2018,12,5,2,4,0,0,0,1,4,,,,,,0,0,0,,
86,,2024-03-12 00:00:00,,2016-11-22,2018-11-22,,5,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,11,22,1,4,0,0,0,1,3,2018,11,22,3,4,0,0,0,1,3,,,,,,0,0,0,,
87,,2024-03-12 00:00:00,,2016-10-18,2016-09-18,,3,pending,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,10,18,1,4,0,0,0,1,3,2016,9,18,6,3,1,0,0,4,3,,,,,,0,0,0,,
88,,2024-03-12 00:00:00,,2016-09-12,2018-09-12,,1,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,9,12,0,3,0,0,0,4,3,2018,9,12,2,3,0,0,0,4,3,,,,,,0,0,0,,
89,,2024-03-12 00:00:00,,2016-08-05,2018-08-05,,6,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,8,5,4,3,0,0,0,4,2,2018,8,5,6,3,1,0,0,4,2,,,,,,0,0,0,,
90,,2024-03-12 00:00:00,,2016-07-20,2018-07-20,,2,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,7,20,2,3,0,0,0,4,2,2018,7,20,4,3,0,0,0,4,2,,,,,,0,0,0,,
91,,2024-03-12 00:00:00,,2016-06-15,2018-06-15,,4,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,6,15,2,2,0,0,0,3,2,2018,6,15,4,2,0,0,0,3,2,,,,,,0,0,0,,
92,,2024-03-12 00:00:00,,2016-05-10,2018-05-10,,3,canceled,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,5,10,1,2,0,0,0,3,1,2018,5,10,3,2,0,0,0,3,1,,,,,,0,0,0,,
93,,2024-03-12 00:00:00,,2016-04-22,2018-04-22,,1,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,4,22,4,2,0,0,0,3,1,2018,4,22,6,2,1,0,0,3,1,,,,,,0,0,0,,
94,,2024-03-12 00:00:00,,2016-03-18,2016-02-18,,5,returned,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,3,18,4,1,0,0,0,2,1,2016,2,18,3,1,0,0,0,2,4,,,,,,0,0,0,,
95,,2024-03-12 00:00:00,,2016-02-12,2018-02-12,,2,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,2,12,4,1,0,0,0,2,4,2018,2,12,0,1,0,0,0,2,4,,,,,,0,0,0,,
96,,2024-03-12 00:00:00,,2016-01-05,2018-01-05,,4,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2016,1,5,1,1,0,0,0,2,4,2018,1,5,4,1,0,0,0,2,4,,,,,,0,0,0,,
97,,2024-03-12 00:00:00,,2015-12-20,2017-12-20,,3,pending,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2015,12,20,6,4,1,0,0,1,4,2017,12,20,2,4,0,0,0,1,4,,,,,,0,0,0,,
98,,2024-03-12 00:00:00,,2015-11-15,2017-11-15,,1,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2015,11,15,6,4,1,0,0,1,3,2017,11,15,2,4,0,0,0,1,3,,,,,,0,0,0,,
99,,2024-03-12 00:00:00,,2015-10-10,2017-10-10,,6,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2015,10,10,5,4,1,0,0,1,3,2017,10,10,1,4,0,0,0,1,3,,,,,,0,0,0,,
100,,2024-03-12 00:00:00,,2015-09-22,2017-09-22,,2,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2015,9,22,1,3,0,0,0,4,3,2017,9,22,4,3,0,0,0,4,3,,,,,,0,0,0,,
