Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Treatment,Low Value,243.79,380.39,47.4,55.7,Yes
Treatment,Low Value,275.27,426.38,48.9,73.9,Yes
Control,Low Value,203.79,333.5,70.3,52.7,Yes
Control,Low Value,146.07,172.29,70.3,73.9,No
Treatment,High Value,225.66,346.41,100.0,100.0,
Control,Low Value,249.38,280.53,64.1,62.2,No
Treatment,Medium Value,203.79,252.11,60.6,65.0,Yes
Control,Medium Value,136.46,163.06,65.5,59.4,
Control,,210.95,255.78,54.4,73.9,No
Control,Medium Value,181.26,215.03,69.1,88.3,No
,Low Value,122.75,152.6,47.8,73.9,Yes
,,286.72,337.28,76.5,76.0,No
Control,,237.42,294.12,55.3,66.3,No
Control,Low Value,181.33,216.47,55.8,73.9,No
Treatment,Low Value,152.29,213.03,68.4,76.0,Yes
Treatment,High Value,245.28,393.75,92.7,100.0,Yes
Treatment,Low Value,221.68,334.34,47.6,55.9,Yes
Treatment,Low Value,204.6,316.03,44.6,73.9,No
Treatment,High Value,160.05,248.49,95.5,98.7,No
Control,Low Value,218.65,259.2,70.3,76.0,No
Control,Low Value,203.79,268.23,70.3,55.9,No
Treatment,High Value,214.21,322.86,84.3,92.6,Yes
Control,Low Value,246.95,289.93,49.7,73.9,No
Treatment,,157.14,249.03,44.2,47.6,No
Treatment,High Value,306.41,463.4,94.8,100.0,No
,High Value,233.39,276.06,69.7,83.8,No
Control,Medium Value,194.91,234.28,82.5,100.0,Yes
Control,Low Value,191.49,220.39,70.3,73.9,Yes
,,278.1,432.4,68.8,73.9,Yes
Control,Medium Value,203.79,277.8,77.7,82.7,
Treatment,High Value,274.03,280.53,93.8,100.0,
Treatment,Low Value,248.34,390.85,59.6,66.9,Yes
Treatment,Low Value,169.74,280.53,62.6,63.9,Yes
Control,High Value,250.51,290.53,70.3,83.5,Yes
Control,Medium Value,212.47,250.05,70.3,57.5,Yes
,High Value,203.79,280.53,100.0,100.0,No
Control,,180.23,225.82,52.9,55.6,No
,High Value,243.38,287.63,84.0,81.1,No
Control,Low Value,297.27,342.75,57.9,68.8,No
Treatment,,280.02,426.47,68.6,66.4,Yes
Treatment,Low Value,150.3,228.37,44.9,40.0,Yes
Control,Medium Value,266.82,308.36,61.6,63.0,No
Treatment,Medium Value,258.88,388.39,63.7,73.5,Yes
Control,Low Value,144.78,168.25,58.2,55.2,No
Control,,199.64,238.98,70.3,53.3,Yes
,Medium Value,171.16,207.24,70.3,80.5,
,High Value,203.85,243.77,90.0,87.5,No
Treatment,Low Value,187.99,284.38,55.3,56.9,No
Treatment,,182.53,258.23,71.1,73.9,Yes
Treatment,Medium Value,169.26,273.06,60.3,70.3,No
Control,High Value,245.41,288.64,100.0,100.0,No
Control,Low Value,101.23,280.53,56.9,73.9,No
Control,Medium Value,222.31,280.53,70.2,78.1,No
,,245.58,374.67,82.1,85.0,Yes
Control,Medium Value,246.07,294.31,65.0,66.1,Yes
Treatment,,203.79,189.63,70.3,58.6,Yes
Treatment,High Value,316.72,477.37,74.0,62.4,No
Treatment,Medium Value,301.46,456.43,60.4,75.8,No
Treatment,High Value,200.99,305.91,100.0,100.0,No
Treatment,Low Value,257.54,396.98,49.1,73.9,No
Treatment,,291.61,443.76,78.2,95.0,No
Control,Low Value,178.0,206.53,64.5,68.0,Yes
,Medium Value,181.54,213.42,72.1,72.5,Yes
Treatment,,179.25,269.91,46.1,51.5,No
Treatment,Medium Value,316.72,477.37,70.3,82.0,No
,,283.9,338.55,85.8,98.7,No
Treatment,Low Value,189.71,280.53,59.5,58.9,No
Treatment,Medium Value,219.83,280.53,72.4,80.8,No
Control,High Value,282.98,280.53,97.2,100.0,No
Treatment,Medium Value,260.43,402.5,70.3,92.7,Yes
Treatment,Low Value,156.81,229.58,70.3,76.0,No
Treatment,High Value,262.1,416.97,80.6,98.1,Yes
Control,High Value,212.51,261.9,91.4,70.9,Yes
Control,Medium Value,225.73,274.49,76.8,83.7,No
Control,Medium Value,213.42,255.99,73.5,95.3,Yes
Treatment,Low Value,244.13,379.82,57.8,51.0,No
,High Value,221.32,340.8,100.0,100.0,No
Control,Low Value,203.79,225.17,51.2,73.0,No
Treatment,,128.22,185.57,55.2,48.4,No
Treatment,,203.79,397.21,70.3,100.0,Yes
,Low Value,152.34,226.66,69.1,66.5,No
Treatment,Low Value,125.16,176.16,59.9,66.2,Yes
Treatment,Low Value,251.55,280.53,70.3,58.7,Yes
Control,Low Value,205.3,242.74,61.4,72.4,No
Treatment,Low Value,104.58,280.53,55.7,52.1,No
,High Value,194.87,280.53,85.2,100.0,No
Treatment,Low Value,197.37,301.56,49.9,73.9,Yes
Control,High Value,251.4,292.12,89.5,78.9,No
Treatment,,172.6,262.18,58.7,55.6,No
Control,,203.36,75.68,73.7,73.2,No
Treatment,Medium Value,189.97,298.82,81.6,73.9,Yes
Control,Low Value,241.89,282.61,53.5,62.5,Yes
Treatment,Medium Value,290.7,445.86,70.3,75.8,No
Control,High Value,315.2,358.91,100.0,100.0,No
Treatment,,203.79,442.89,70.3,54.9,
Control,High Value,151.65,171.77,100.0,100.0,No
Control,Low Value,160.22,280.53,70.3,46.2,Yes
Treatment,Medium Value,256.76,392.85,69.5,61.6,Yes
Treatment,High Value,287.18,461.87,70.3,73.9,
Control,Medium Value,219.11,270.16,67.6,70.9,Yes
,,163.12,254.29,64.6,59.0,Yes
Control,Low Value,161.81,192.93,41.8,73.9,No
Control,High Value,203.7,241.76,76.8,74.9,Yes
Control,,203.79,187.96,70.3,73.9,No
Treatment,Low Value,201.95,304.82,45.1,58.5,Yes
Control,Low Value,203.79,229.98,58.6,64.8,No
Control,Low Value,146.23,168.38,60.3,58.7,Yes
Treatment,Medium Value,195.08,302.47,66.1,73.9,No
Treatment,Low Value,88.04,122.9,55.0,55.3,Yes
Treatment,High Value,256.98,377.23,87.9,87.4,Yes
Treatment,High Value,291.66,471.79,67.2,73.9,Yes
Control,Medium Value,203.79,210.73,76.5,84.2,No
Control,High Value,196.28,245.65,84.5,80.3,Yes
Control,Low Value,215.33,252.58,46.6,32.5,Yes
,Medium Value,225.64,265.26,76.1,99.3,Yes
Treatment,Low Value,236.6,371.08,57.0,73.9,Yes
Control,Medium Value,183.57,214.45,82.2,73.9,Yes
Control,Medium Value,203.85,243.77,70.3,87.9,Yes
,Low Value,185.18,281.83,55.5,55.7,
Control,High Value,188.99,219.17,100.0,73.9,No
Control,High Value,226.82,278.16,100.0,100.0,Yes
,,165.49,187.19,70.3,81.6,Yes
Control,Low Value,212.5,248.59,70.3,64.8,No
Control,Low Value,157.8,195.85,58.8,57.1,No
Control,Medium Value,242.91,285.47,70.3,70.2,No
Treatment,High Value,316.26,474.74,85.0,100.0,No
Treatment,Low Value,203.79,338.84,70.3,60.5,No
Control,High Value,259.4,306.64,96.0,100.0,No
Control,High Value,166.56,198.5,93.2,93.0,No
Treatment,Medium Value,291.7,450.38,92.7,97.6,No
Control,Medium Value,203.85,243.77,71.7,73.9,Yes
Control,,203.79,280.1,81.1,81.4,No
Control,Low Value,179.87,219.24,70.3,73.9,
Treatment,Low Value,165.79,250.35,48.0,55.3,No
Control,Medium Value,315.38,369.02,66.9,73.9,Yes
Treatment,High Value,299.3,459.66,91.8,100.0,
Control,Low Value,203.79,195.01,53.9,73.4,No
Treatment,Low Value,248.93,381.34,53.6,54.8,No
Treatment,Medium Value,287.92,453.81,66.8,80.5,
Control,,238.9,283.91,95.1,94.6,No
,Low Value,184.02,280.53,69.9,75.1,
Control,Medium Value,168.87,200.04,70.3,73.9,No
Treatment,Low Value,230.59,357.63,40.5,41.4,Yes
Control,Low Value,184.69,230.06,52.2,52.6,Yes
Control,Low Value,203.79,205.19,58.8,48.8,Yes
,Medium Value,225.1,343.92,56.7,63.8,Yes
Control,High Value,204.22,234.31,70.3,42.4,No
Control,Medium Value,295.83,345.76,64.9,66.8,No
Treatment,,283.61,433.06,82.2,63.9,No
,Low Value,198.72,233.49,67.3,69.2,Yes
Control,High Value,202.29,224.42,70.3,100.0,No
Treatment,Low Value,162.02,247.96,52.7,65.7,No
Treatment,,203.79,218.57,70.3,56.7,Yes
Control,,155.95,190.98,70.3,78.4,
Control,,216.29,245.52,56.2,49.6,No
Treatment,,203.79,293.61,77.4,71.2,No
Treatment,High Value,202.22,311.01,95.4,100.0,Yes
Control,High Value,195.22,238.93,100.0,100.0,Yes
Treatment,Low Value,241.41,372.89,70.3,51.8,
Control,Medium Value,177.48,208.36,80.2,63.8,Yes
Control,,262.35,312.96,58.1,74.6,No
Control,Medium Value,204.01,237.58,74.0,68.7,Yes
Control,Medium Value,163.81,189.42,70.3,74.4,Yes
Control,Medium Value,203.79,280.53,69.9,65.9,Yes
Treatment,,296.27,453.88,70.3,81.1,No
,Medium Value,174.95,272.84,84.2,88.2,Yes
Treatment,High Value,247.69,372.94,91.3,100.0,Yes
Treatment,Medium Value,203.79,370.24,61.7,73.9,Yes
Control,High Value,242.31,280.53,71.8,85.0,Yes
Control,,218.58,258.06,74.7,73.9,Yes
Control,High Value,284.03,326.04,81.9,92.3,No
Control,,192.02,231.45,58.5,64.8,No
Treatment,Medium Value,187.4,302.8,66.3,57.8,Yes
Control,,119.47,137.2,64.4,51.4,Yes
Control,Medium Value,133.62,161.61,59.2,64.9,Yes
Treatment,Medium Value,203.79,351.91,76.3,74.8,No
,Low Value,197.16,295.01,41.3,35.4,Yes
Treatment,High Value,288.2,437.15,70.3,59.0,Yes
Treatment,Medium Value,280.85,280.53,70.3,73.9,Yes
Control,High Value,203.79,264.03,75.3,100.0,Yes
Control,Low Value,241.25,280.53,50.4,59.1,Yes
Treatment,High Value,221.71,333.96,98.2,100.0,Yes
Control,Medium Value,207.52,245.22,79.7,73.9,Yes
Control,Medium Value,207.69,237.5,61.8,78.9,No
,Medium Value,203.79,360.21,69.0,88.1,No
Treatment,Low Value,141.26,228.07,58.8,73.9,No
Control,Medium Value,224.69,265.01,69.0,70.1,Yes
,Low Value,168.86,264.02,66.9,66.9,Yes
Control,,229.02,261.81,70.3,73.9,No
Control,Medium Value,208.42,242.24,70.3,73.9,No
Control,Medium Value,316.72,396.25,33.2,28.5,No
Treatment,Medium Value,286.13,430.29,70.3,62.3,Yes
Control,High Value,316.72,411.15,83.2,100.0,No
Treatment,Medium Value,262.27,413.07,72.8,73.4,Yes
,Low Value,153.33,230.14,51.9,54.9,No
Treatment,High Value,227.04,330.92,83.9,73.9,No
Control,High Value,262.38,306.65,100.0,73.9,No
Control,High Value,218.94,270.1,95.5,100.0,No
,,214.84,263.13,72.1,93.0,Yes
Control,High Value,242.71,286.32,70.3,86.3,No
Treatment,Low Value,230.33,352.97,46.8,53.4,Yes
Treatment,,270.64,280.53,70.3,97.3,Yes
Treatment,,191.12,285.49,70.3,47.8,Yes
Control,High Value,275.62,322.02,83.8,73.9,
Treatment,High Value,316.72,477.37,94.0,74.1,Yes
Control,High Value,156.38,177.41,77.4,76.1,No
Treatment,High Value,220.73,341.84,80.6,96.7,No
Control,High Value,212.31,242.04,70.8,74.8,No
,Low Value,204.88,250.49,70.3,50.5,No
Treatment,Low Value,118.66,177.33,53.4,58.9,Yes
Treatment,High Value,311.7,474.85,80.8,100.0,No
Treatment,Low Value,204.94,308.99,46.0,34.0,No
Treatment,Medium Value,232.21,347.88,68.2,64.2,No
,High Value,256.42,300.95,94.6,100.0,Yes
Treatment,,195.97,281.71,63.0,73.9,No
Treatment,Medium Value,264.05,398.03,81.7,85.1,Yes
Treatment,,241.02,280.53,80.4,93.6,Yes
Control,,203.79,133.34,69.6,60.9,No
,,214.46,252.92,83.4,97.9,Yes
Treatment,Medium Value,204.57,307.89,77.7,82.1,No
,High Value,284.66,347.41,89.9,73.9,No
,High Value,316.72,477.37,94.1,89.0,No
Control,Medium Value,203.79,275.68,60.0,70.7,Yes
,High Value,316.72,418.06,70.3,100.0,
Control,,209.41,243.7,76.1,73.9,No
Control,Medium Value,197.36,228.9,72.4,75.3,No
Treatment,High Value,227.82,348.32,100.0,73.9,No
Treatment,Low Value,216.33,339.6,57.1,73.9,No
,High Value,207.09,313.44,92.1,91.6,No
Control,Low Value,130.63,160.23,63.0,60.8,Yes
Treatment,Medium Value,216.48,327.33,76.3,74.6,Yes
,High Value,203.79,288.78,83.7,73.9,Yes
Treatment,Medium Value,203.79,430.17,86.7,73.9,No
Control,Medium Value,254.63,305.74,64.3,45.6,Yes
,Medium Value,182.91,229.47,70.3,73.9,No
,Medium Value,247.71,308.11,79.1,94.3,Yes
Treatment,Medium Value,179.07,280.53,68.6,56.1,Yes
Treatment,,203.79,382.09,77.4,92.7,Yes
Treatment,Low Value,193.14,289.85,54.6,58.1,No
Control,High Value,213.44,254.28,70.3,73.9,
,,290.41,347.41,94.1,90.8,Yes
Treatment,High Value,187.89,280.53,99.5,100.0,
Control,High Value,203.79,311.82,100.0,73.9,No
Control,Low Value,215.91,248.99,65.6,73.9,Yes
Control,High Value,173.5,198.23,80.0,87.2,No
Control,Medium Value,186.75,223.69,74.8,80.6,Yes
Treatment,High Value,190.73,294.0,73.1,73.9,Yes
Control,,225.82,269.38,91.0,87.5,No
Control,Low Value,200.44,230.45,41.8,73.9,Yes
,Low Value,203.79,176.1,69.7,75.2,No
Control,Medium Value,203.79,312.55,85.2,85.2,Yes
Treatment,,203.79,449.83,70.3,76.2,Yes
Treatment,High Value,316.72,280.53,70.3,93.1,No
,,91.45,95.12,70.3,73.9,Yes
Control,Medium Value,316.72,380.79,70.3,74.9,Yes
Control,Low Value,207.86,237.93,54.8,65.8,No
Control,,222.49,260.48,76.1,73.8,No
,,245.57,295.32,100.0,73.9,No
Control,Low Value,203.79,150.87,70.3,76.0,Yes
Treatment,Low Value,203.79,320.63,46.1,73.9,No
Control,Medium Value,296.8,358.53,71.3,72.9,No
Treatment,Low Value,198.92,297.95,40.7,73.9,No
Treatment,Low Value,144.98,228.47,53.4,50.5,No
Control,High Value,157.79,187.93,100.0,100.0,No
,High Value,223.36,330.99,96.8,100.0,Yes
,Low Value,161.31,280.53,61.1,50.0,Yes
Treatment,Low Value,203.79,346.81,56.9,53.2,Yes
Treatment,Medium Value,287.99,432.97,64.1,73.9,Yes
Treatment,Medium Value,235.87,363.28,55.9,73.9,Yes
Treatment,Low Value,197.47,309.4,65.5,67.1,Yes
Control,High Value,235.03,277.11,85.9,93.0,No
Treatment,Low Value,194.55,299.93,52.4,57.1,Yes
Treatment,Low Value,144.3,219.46,39.3,34.1,No
Treatment,High Value,270.86,425.84,81.8,92.5,No
Control,High Value,184.16,215.96,93.5,63.2,No
Treatment,Medium Value,282.35,429.73,70.3,73.9,No
Control,Medium Value,192.37,225.49,90.6,91.6,Yes
Treatment,,261.98,391.04,69.9,55.8,Yes
Control,Medium Value,145.4,152.01,70.0,82.6,Yes
Control,High Value,290.83,339.04,100.0,100.0,Yes
Treatment,,260.14,280.53,70.3,76.0,No
,Medium Value,152.03,240.13,70.3,68.0,Yes
,Medium Value,203.79,241.05,86.3,90.3,No
,High Value,255.89,384.31,70.0,82.6,Yes
,,268.84,314.03,97.6,79.6,No
,Low Value,182.68,214.58,60.4,67.8,Yes
Control,Low Value,183.16,210.54,55.8,50.1,Yes
Control,High Value,138.62,157.85,70.3,73.9,No
,Medium Value,203.79,283.05,65.8,70.0,Yes
Treatment,Medium Value,180.93,269.11,49.2,31.5,Yes
,Medium Value,169.6,203.0,72.7,66.1,Yes
Control,Low Value,245.26,294.95,70.3,56.4,No
Treatment,,226.54,367.38,87.9,73.9,
Control,Medium Value,108.77,122.34,69.4,54.4,No
Treatment,High Value,203.79,452.69,81.9,63.6,No
,,194.42,284.42,70.3,67.2,Yes
Treatment,High Value,242.82,280.53,79.2,100.0,Yes
Control,Medium Value,239.29,285.81,66.2,66.3,No
Control,Low Value,138.29,161.81,47.0,52.2,Yes
Control,,209.84,249.82,78.1,73.9,No
Treatment,Medium Value,284.35,439.1,70.3,100.0,No
Control,,296.82,349.07,72.3,73.9,No
Treatment,High Value,214.03,325.27,91.4,97.6,No
,,277.21,327.64,100.0,86.2,Yes
Treatment,Medium Value,261.12,421.76,80.5,91.6,Yes
Control,Medium Value,203.79,280.53,62.9,59.9,Yes
Control,,203.79,164.79,65.3,69.2,Yes
Control,Medium Value,302.23,361.15,66.2,69.2,No
Treatment,Low Value,203.79,269.76,70.3,63.0,
Treatment,High Value,244.21,280.53,86.3,100.0,No
Control,High Value,223.36,280.53,77.2,63.6,Yes
Control,,256.81,280.53,82.6,100.0,Yes
Treatment,Low Value,154.02,235.44,70.3,62.6,No
Treatment,Medium Value,215.54,322.04,70.3,93.3,Yes
Treatment,High Value,251.26,392.05,97.9,93.2,Yes
Control,Medium Value,281.09,280.53,70.1,74.3,No
Treatment,Medium Value,203.79,430.27,70.3,92.1,No
Control,High Value,306.51,365.25,70.3,100.0,No
Treatment,Low Value,241.14,369.21,52.6,51.5,No
Control,,313.52,377.68,52.2,74.0,No
Treatment,High Value,222.41,329.55,70.3,99.5,No
Treatment,Medium Value,203.79,319.25,83.1,97.7,No
Treatment,Medium Value,204.1,320.68,75.6,73.9,No
Treatment,Medium Value,217.23,322.49,53.3,52.0,No
Treatment,,147.76,220.32,76.1,73.9,No
Control,Medium Value,231.94,272.67,95.1,99.7,
Treatment,Low Value,219.51,341.2,53.9,73.9,Yes
Treatment,Low Value,203.79,273.76,68.1,73.9,Yes
Treatment,High Value,142.04,280.53,98.2,100.0,No
Control,Low Value,203.79,238.62,54.9,50.2,Yes
Treatment,Low Value,140.2,212.52,65.5,65.1,No
,Low Value,203.79,257.18,50.7,57.5,No
Treatment,Medium Value,231.98,349.03,59.6,55.4,No
Treatment,Medium Value,226.27,360.42,58.9,59.9,Yes
,High Value,188.63,280.53,70.3,100.0,No
Treatment,,313.4,477.37,70.3,100.0,Yes
Control,High Value,203.79,301.16,82.2,82.0,No
Control,,182.83,229.29,85.0,99.8,Yes
Treatment,Low Value,218.46,327.76,55.3,64.9,Yes
Control,Low Value,206.24,280.53,61.0,61.2,No
Treatment,Medium Value,316.52,469.66,64.8,76.7,Yes
Treatment,High Value,207.57,324.82,90.0,81.8,Yes
Control,High Value,203.79,224.35,67.0,73.9,No
Control,High Value,256.19,296.13,89.4,96.8,Yes
Control,,271.72,329.67,73.5,81.1,Yes
Control,High Value,203.36,477.37,42.6,43.4,Yes
Treatment,High Value,316.72,477.37,90.8,73.9,Yes
Treatment,Medium Value,146.1,211.98,74.9,77.8,
Control,Low Value,195.17,230.22,49.6,73.9,Yes
Treatment,Medium Value,148.74,228.07,68.3,90.1,Yes
Treatment,Medium Value,203.79,318.86,65.1,75.1,No
,Medium Value,316.72,477.37,65.0,73.9,Yes
Treatment,Medium Value,183.8,276.78,85.0,96.7,
Control,Low Value,201.74,238.34,43.6,44.8,Yes
Control,High Value,203.68,241.66,98.4,76.5,No
,Medium Value,167.43,279.98,58.0,68.2,No
Control,Low Value,273.39,331.62,66.5,57.5,Yes
Control,High Value,155.76,188.09,97.4,87.9,No
Control,High Value,235.36,275.14,70.3,77.5,No
Treatment,High Value,250.69,388.75,100.0,73.9,Yes
Treatment,Medium Value,224.49,348.91,82.1,88.0,Yes
Treatment,Medium Value,210.78,323.47,79.2,95.0,No
Control,,203.79,394.89,98.5,86.1,Yes
Treatment,High Value,203.79,215.73,70.2,93.4,
Treatment,High Value,256.35,384.56,100.0,100.0,No
Control,High Value,263.6,314.8,89.5,100.0,No
Treatment,High Value,203.79,280.53,92.2,100.0,Yes
Treatment,,204.7,311.66,100.0,100.0,No
Control,,246.32,288.37,52.9,58.0,Yes
Control,,301.82,353.01,70.3,100.0,
,Medium Value,176.15,280.53,80.5,88.6,No
Treatment,Medium Value,161.08,247.46,100.0,100.0,
Treatment,Medium Value,145.99,230.73,69.7,70.4,Yes
Treatment,High Value,256.25,391.69,99.4,100.0,No
Control,,219.55,262.2,77.0,73.9,No
Control,,181.29,216.88,70.3,64.9,Yes
Treatment,High Value,316.72,477.37,90.0,89.6,Yes
Treatment,Medium Value,203.79,303.61,75.6,88.2,No
Control,Low Value,204.08,248.46,55.4,48.3,No
Control,,188.36,216.36,60.7,73.9,Yes
Control,Medium Value,316.72,378.19,50.9,73.9,Yes
Control,Low Value,106.39,127.31,52.2,73.9,No
Treatment,Medium Value,202.75,317.58,70.3,73.9,No
,Low Value,232.38,280.64,70.3,67.2,No
Treatment,High Value,232.32,363.19,96.4,100.0,Yes
Treatment,High Value,168.12,267.16,70.3,92.6,Yes
Treatment,High Value,255.0,388.66,97.5,95.5,Yes
,High Value,150.46,186.11,98.9,92.9,Yes
Control,High Value,203.79,338.24,81.6,61.6,Yes
Control,Medium Value,203.79,242.28,65.2,85.7,Yes
Control,High Value,203.79,237.53,82.2,91.4,No
Treatment,High Value,301.44,470.48,84.9,73.9,No
,,177.66,209.95,100.0,87.6,Yes
Control,High Value,150.43,280.53,77.6,87.1,Yes
Treatment,Low Value,151.21,240.63,70.0,73.9,No
Control,High Value,316.72,422.98,70.3,90.5,No
Treatment,High Value,203.79,301.51,76.2,73.9,No
,,248.86,371.76,70.3,73.9,Yes
Treatment,,238.33,362.31,58.9,74.0,Yes
,,174.97,269.36,58.5,55.5,Yes
Treatment,High Value,179.92,269.2,85.3,78.2,No
Treatment,Medium Value,225.76,358.71,60.2,68.5,No
Treatment,,226.79,346.4,77.1,82.1,No
Treatment,High Value,312.11,472.87,76.1,100.0,Yes
Control,Low Value,203.79,280.53,43.9,57.8,No
Control,Low Value,178.4,209.85,70.3,76.0,Yes
Control,Medium Value,316.72,423.13,68.6,79.8,Yes
Control,High Value,146.87,165.63,86.5,73.9,Yes
,Medium Value,114.2,164.76,70.3,78.8,No
Control,Medium Value,151.46,174.33,72.3,84.6,Yes
Treatment,Medium Value,284.82,438.74,65.0,63.2,Yes
Control,High Value,212.21,243.25,81.8,86.5,Yes
Control,High Value,203.79,240.58,100.0,89.2,Yes
Control,Low Value,152.74,188.4,46.7,47.5,No
Treatment,High Value,297.88,459.02,91.5,100.0,Yes
Control,Medium Value,160.76,186.54,90.8,99.7,Yes
Treatment,Medium Value,184.19,291.21,67.8,77.8,Yes
Treatment,Low Value,158.02,233.7,65.7,76.0,No
Control,High Value,91.79,280.53,70.3,66.2,No
,,203.79,230.21,70.3,85.1,Yes
Control,Low Value,206.62,253.8,70.3,60.5,No
Treatment,,155.79,247.51,70.3,73.9,Yes
Control,Medium Value,203.85,243.77,88.8,86.2,No
Treatment,Medium Value,209.55,323.54,71.6,73.9,No
Treatment,High Value,239.91,355.93,76.5,92.6,No
,Low Value,150.42,183.32,70.3,69.5,Yes
Control,Medium Value,165.3,188.64,70.3,83.0,No
Treatment,Low Value,197.76,309.63,46.1,73.9,No
Treatment,High Value,161.55,256.6,70.3,94.1,Yes
Treatment,Medium Value,206.91,303.22,64.3,73.9,Yes
Control,High Value,316.72,407.23,76.7,68.8,No
,Low Value,193.98,306.15,46.6,54.5,No
,High Value,142.85,160.06,94.3,73.9,No
Treatment,High Value,250.97,396.17,100.0,100.0,No
Treatment,Low Value,239.25,360.1,54.2,61.4,No
Control,,197.2,238.53,94.7,93.0,Yes
Treatment,Low Value,175.96,269.33,50.3,60.8,No
Control,,181.68,205.45,71.7,80.6,
Control,Low Value,172.5,211.68,48.1,44.0,No
Treatment,,164.47,262.64,40.9,35.4,No
Control,Medium Value,238.09,283.03,64.8,73.9,No
Control,Low Value,278.12,330.4,70.3,75.0,Yes
Treatment,Medium Value,211.49,321.71,70.3,49.5,
Control,Medium Value,157.79,188.89,81.3,88.9,No
,Low Value,315.88,377.85,56.5,73.9,No
Control,,274.45,335.41,87.6,100.0,Yes
Treatment,High Value,284.12,439.57,83.8,90.9,Yes
Control,Medium Value,217.47,265.71,77.0,60.9,Yes
Treatment,High Value,256.81,280.53,100.0,100.0,No
,,225.88,353.99,92.7,100.0,Yes
Control,,240.45,286.07,53.8,54.3,No
Control,Medium Value,195.79,280.53,70.3,100.0,Yes
Control,Medium Value,242.69,280.53,72.6,86.9,Yes
Treatment,Low Value,240.23,378.21,70.3,71.8,Yes
,High Value,164.85,280.53,100.0,100.0,No
Control,Medium Value,276.44,322.65,65.1,73.5,Yes
,,188.06,208.51,84.4,98.8,No
,Medium Value,283.18,338.74,70.3,98.3,
Control,Medium Value,255.66,310.5,70.2,88.8,No
Treatment,,203.79,372.39,54.8,45.1,No
Treatment,Medium Value,240.12,366.38,57.3,73.9,Yes
Control,High Value,230.24,280.51,92.0,73.9,Yes
,High Value,203.79,270.24,100.0,89.7,Yes
,High Value,225.99,273.49,61.8,73.9,Yes
Control,High Value,307.67,365.35,100.0,96.4,No
Treatment,Low Value,202.7,280.53,70.3,76.0,No
,Medium Value,228.38,273.51,84.0,83.3,No
Treatment,Medium Value,215.27,336.28,64.1,75.9,No
Treatment,Medium Value,182.61,276.11,77.0,76.0,No
,Low Value,203.79,119.92,57.4,69.7,No
Treatment,High Value,288.52,446.99,100.0,100.0,No
Treatment,Medium Value,203.79,387.59,84.2,73.9,Yes
,High Value,244.35,371.26,80.0,78.0,No
Treatment,High Value,203.79,265.93,99.0,100.0,
Control,Low Value,276.24,322.48,49.8,47.2,No
Control,,183.76,221.19,70.3,57.8,No
Treatment,High Value,259.02,407.46,70.3,86.7,No
Control,Medium Value,187.67,221.15,72.0,73.3,No
Control,Medium Value,157.5,190.04,74.1,69.0,Yes
Control,,226.86,256.48,49.7,73.9,Yes
,Low Value,131.19,156.36,70.3,73.9,Yes
Control,Low Value,212.25,243.21,59.0,63.9,No
Treatment,Low Value,302.62,461.6,27.0,73.9,Yes
,Low Value,142.79,171.51,55.4,49.4,Yes
Control,Low Value,138.06,166.77,48.9,53.0,No
Control,Low Value,203.79,176.99,45.6,73.9,Yes
Control,Medium Value,184.28,207.1,70.3,66.8,No
Treatment,Low Value,127.63,189.83,62.3,57.5,Yes
Treatment,Low Value,142.92,205.65,63.0,66.5,Yes
Treatment,Medium Value,221.26,280.53,80.2,89.3,No
Treatment,,309.05,477.37,82.6,85.8,Yes
Control,High Value,297.48,280.53,92.2,100.0,No
Treatment,Low Value,204.32,328.74,49.9,73.9,Yes
Control,Low Value,244.19,288.18,53.3,57.2,Yes
Control,Low Value,203.79,301.07,54.0,48.7,No
Control,Low Value,187.55,215.96,48.7,57.5,Yes
Control,High Value,246.24,298.34,97.1,100.0,No
Control,Medium Value,264.05,280.53,68.5,76.1,No
Treatment,Medium Value,270.84,419.62,53.0,53.0,Yes
Treatment,,243.42,378.08,63.4,73.9,No
Treatment,Low Value,154.54,280.53,58.2,54.7,Yes
Treatment,Low Value,249.05,387.03,41.5,43.7,Yes
Control,High Value,316.72,410.47,82.8,100.0,No
Treatment,High Value,311.97,467.84,86.7,73.9,No
Control,Medium Value,203.79,195.92,70.5,75.7,No
,Low Value,131.3,198.19,70.3,76.0,Yes
Control,Low Value,203.79,258.69,70.3,44.9,Yes
Control,Low Value,264.62,318.12,47.6,51.5,
Treatment,Low Value,213.27,334.16,63.1,66.7,Yes
Control,High Value,220.68,259.98,70.3,100.0,No
Control,Medium Value,199.33,241.29,81.3,88.0,No
Treatment,Medium Value,270.81,406.57,69.0,56.6,Yes
Control,High Value,203.79,277.12,70.3,100.0,
Treatment,Low Value,224.17,330.83,54.0,55.6,
Treatment,Medium Value,213.38,323.99,69.1,76.2,Yes
Treatment,,171.98,267.23,62.2,60.8,Yes
Control,High Value,191.97,231.04,100.0,100.0,Yes
Control,Low Value,216.22,257.7,50.1,60.9,No
Control,Medium Value,88.04,280.53,59.6,63.2,
Treatment,,220.77,340.77,67.0,63.6,No
,Medium Value,117.19,126.4,100.0,100.0,Yes
Treatment,High Value,307.84,454.89,100.0,100.0,Yes
